Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
75,3.0,0.0,0.0,3921.0,15.0,38.0,16764.0,0.1,15.010999999999994,0.0,0.0,2546.4574403762817,,,,,,,,,,,,,,,,,,,,,5.535813460139045,5.300132017527737,14.830284827885665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,4690.0,16.0,769.0,17533.0,0.1,632.8839999999998,0.0,0.0,2613.457060098648,,,,,,,,,,,,,,,,,,,,,238.01146725526436,137.9975472787801,450.75423940527304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,4775.0,17.0,85.0,17618.0,0.1,70.75600000000003,0.0,0.0,2621.0681557655334,,,,,,,,,,,,,,,,,,,,,31.04215935698879,21.70539059581282,68.25385591262527,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,5058.0,18.0,283.0,17901.0,0.1,223.38900000000007,0.0,0.0,2645.949996471405,,,,,,,,,,,,,,,,,,,,,100.21347146074258,60.291005577254744,195.41923061861672,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,5712.0,19.0,654.0,18555.0,0.1,538.0059999999999,0.0,0.0,2702.939787864685,,,,,,,,,,,,,,,,,,,,,212.4311696890055,119.37857690504248,399.87536587978457,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,5776.0,20.0,64.0,18619.0,0.1,43.00799999999998,0.0,0.0,2708.8002648353577,,,,,,,,,,,,,,,,,,,,,16.736936425615767,13.619966002539678,42.0208357193636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,173.0,1.0,173.0,18792.0,0.1,124.00700000000003,0.0,0.0,3200.3926832675934,,,,,,,,,,,,,,,,,,,,,50.81909499606715,34.31989308150559,115.4460732661394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,510.0,2.0,337.0,19129.0,0.1,234.639,0.0,0.0,3230.262104511261,,,,,,,,,,,,,,,,,,,,,99.34194844837712,58.30931923159639,201.56368918758278,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,994.0,3.0,484.0,19613.0,0.1,387.7539999999999,0.0,0.0,3272.3864171504974,,,,,,,,,,,,,,,,,,,,,161.74668694310444,92.61404766855296,310.08847037181044,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,1240.0,4.0,246.0,19859.0,0.1,195.38100000000003,0.0,0.0,3293.982118844986,,,,,,,,,,,,,,,,,,,,,85.55759181838361,56.050633255591606,174.6830237772083,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,1545.0,5.0,305.0,20164.0,0.1,260.75599999999986,0.0,0.0,3320.7467172145844,,,,,,,,,,,,,,,,,,,,,113.9381385628402,68.28994883304375,226.45755639356474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,1938.0,6.0,393.0,20557.0,0.1,329.0049999999999,0.0,0.0,3355.1768503189087,,,,,,,,,,,,,,,,,,,,,136.84235757131083,80.65709612704951,275.7772321615656,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,2028.0,7.0,90.0,20647.0,0.1,74.25500000000002,0.0,0.0,3363.373873949051,,,,,,,,,,,,,,,,,,,,,31.952303233649683,23.315025588550267,71.52226571814211,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,2220.0,8.0,192.0,20839.0,0.1,153.75600000000003,0.0,0.0,3380.412135362625,,,,,,,,,,,,,,,,,,,,,68.9009560677189,42.374632544901125,140.80849261172875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,2437.0,9.0,217.0,21056.0,0.1,165.38000000000002,0.0,0.0,3399.6149067878723,,,,,,,,,,,,,,,,,,,,,71.2427170701094,47.38937510122016,150.22062141800092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,2577.0,10.0,140.0,21196.0,0.1,112.00600000000003,0.0,0.0,3412.295124769211,,,,,,,,,,,,,,,,,,,,,47.71076272504667,32.896583255578655,105.53746260624344,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,2648.0,11.0,71.0,21267.0,0.1,54.37999999999999,0.0,0.0,3418.8023443222046,,,,,,,,,,,,,,,,,,,,,23.384854802565368,16.91293894020951,52.825273029804436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,2791.0,12.0,143.0,21410.0,0.1,99.87900000000002,0.0,0.0,3431.6270158290863,,,,,,,,,,,,,,,,,,,,,46.65525479262437,27.81030434449499,93.39399315697557,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,2846.0,13.0,55.0,21465.0,0.1,31.755000000000006,0.0,0.0,3436.7757833004,,,,,,,,,,,,,,,,,,,,,14.660672298011521,10.46166261519473,31.010653319595235,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,2905.0,14.0,59.0,21524.0,0.1,37.75399999999999,0.0,0.0,3442.280824661255,,,,,,,,,,,,,,,,,,,,,17.072595549551647,11.613296579810047,36.820320683623024,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,2932.0,15.0,27.0,21551.0,0.1,11.255999999999997,0.0,0.0,3445.248904943466,,,,,,,,,,,,,,,,,,,,,4.541913665537716,4.031535706547221,11.155668512386743,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,3601.0,16.0,669.0,22220.0,0.1,509.769,0.0,0.0,3503.4178268909454,,,,,,,,,,,,,,,,,,,,,204.46104582345708,108.15924372969288,373.73164991228174,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,3698.0,17.0,97.0,22317.0,0.1,83.50600000000003,0.0,0.0,3512.1095130443573,,,,,,,,,,,,,,,,,,,,,37.768107731171774,25.848782403673855,80.00241838442679,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,4069.0,18.0,371.0,22688.0,0.1,314.63199999999983,0.0,0.0,3544.5196735858917,,,,,,,,,,,,,,,,,,,,,138.19749016854067,81.04201568467211,263.8882437467212,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,4289.0,19.0,220.0,22908.0,0.1,162.76100000000005,0.0,0.0,3564.2091221809387,,,,,,,,,,,,,,,,,,,,,76.26017726447962,48.208517411741596,146.27616705976715,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,4490.0,20.0,201.0,23109.0,0.1,160.63900000000007,0.0,0.0,3581.928965330124,,,,,,,,,,,,,,,,,,,,,71.10635605289845,45.425326681673575,146.63975530422064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,473.0,1.0,473.0,23582.0,0.1,387.2549999999999,0.0,0.0,4014.038854122162,,,,,,,,,,,,,,,,,,,,,163.36625484236413,91.1204335962339,310.60365817224806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,618.0,2.0,145.0,23727.0,0.1,115.25800000000004,0.0,0.0,4026.641548871994,,,,,,,,,,,,,,,,,,,,,49.245319669057196,33.52638973328816,108.33398829057958,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,1091.0,3.0,473.0,24200.0,0.1,358.13999999999965,0.0,0.0,4067.1879212856293,,,,,,,,,,,,,,,,,,,,,141.8979295061299,87.74371292201796,291.6051981346717,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,1555.0,4.0,464.0,24664.0,0.1,363.38099999999986,0.0,0.0,4106.938420295715,,,,,,,,,,,,,,,,,,,,,151.87504006712425,86.74217549336855,293.4976832777265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,1971.0,5.0,416.0,25080.0,0.1,324.50599999999986,0.0,0.0,4142.575627326965,,,,,,,,,,,,,,,,,,,,,135.3896180826394,77.3961140131118,268.72109234121217,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,2333.0,6.0,362.0,25442.0,0.1,296.76399999999967,0.0,0.0,4174.057680606842,,,,,,,,,,,,,,,,,,,,,121.8698864307935,75.27152989670958,253.15315426743328,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,2575.0,7.0,242.0,25684.0,0.1,201.00500000000002,0.0,0.0,4194.807806968689,,,,,,,,,,,,,,,,,,,,,88.40381213373102,54.45120344002395,179.9710395717411,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,2650.0,8.0,75.0,25759.0,0.1,61.255999999999986,0.0,0.0,4201.557902812958,,,,,,,,,,,,,,,,,,,,,24.036246657546123,18.849646609564793,59.57236666164064,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,2677.0,9.0,27.0,25786.0,0.1,10.755999999999997,0.0,0.0,4204.245431900024,,,,,,,,,,,,,,,,,,,,,3.7243099057004856,3.533713365016127,10.676786528817194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,2822.0,10.0,145.0,25931.0,0.1,118.00500000000002,0.0,0.0,4217.370700597763,,,,,,,,,,,,,,,,,,,,,50.28767538044966,34.26688222082026,110.93504622724305,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,3009.0,11.0,187.0,26118.0,0.1,126.88100000000003,0.0,0.0,4233.621471405029,,,,,,,,,,,,,,,,,,,,,55.392368419911726,33.85215398785443,116.75602239424262,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,3504.0,12.0,495.0,26613.0,0.1,369.75699999999983,0.0,0.0,4275.965252637863,,,,,,,,,,,,,,,,,,,,,158.42987887589248,87.2688215512801,291.9177535457712,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,3573.0,13.0,69.0,26682.0,0.1,37.75899999999998,0.0,0.0,4282.18240737915,,,,,,,,,,,,,,,,,,,,,16.67886119735696,12.350089102620334,36.68148486562876,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,3640.0,14.0,67.0,26749.0,0.1,44.00499999999999,0.0,0.0,4288.235774517059,,,,,,,,,,,,,,,,,,,,,19.963315563290347,14.01603555677404,42.75292094623105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,3672.0,15.0,32.0,26781.0,0.1,15.756999999999996,0.0,0.0,4291.601496458054,,,,,,,,,,,,,,,,,,,,,6.49550359925998,5.594201108994405,15.5802888822994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,3779.0,16.0,107.0,26888.0,0.1,77.13200000000003,0.0,0.0,4301.163793563843,,,,,,,,,,,,,,,,,,,,,39.12619188111509,23.665278576407268,73.09160759229769,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,4402.0,17.0,623.0,27511.0,0.1,522.3869999999997,0.0,0.0,4354.492099046707,,,,,,,,,,,,,,,,,,,,,209.60119998645425,116.22991112406386,392.5902402987968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,5097.0,18.0,695.0,28206.0,0.1,550.5059999999999,0.0,0.0,4414.009920120239,,,,,,,,,,,,,,,,,,,,,212.22645789827303,120.07904707034373,403.81583962410866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,5337.0,19.0,240.0,28446.0,0.1,183.15500000000014,0.0,0.0,4434.951275110245,,,,,,,,,,,,,,,,,,,,,72.67409256537452,56.4030327552764,166.04514202321468,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,5873.0,20.0,536.0,28982.0,0.1,480.1299999999999,0.0,0.0,4480.852969884872,,,,,,,,,,,,,,,,,,,,,197.06311376555766,110.6586955938972,375.2543043761094,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6.0,0.0,0.0,594.0,1.0,594.0,29576.0,0.1,471.5049999999999,0.0,0.0,5023.663065195084,,,,,,,,,,,,,,,,,,,,,189.24138138219905,106.89872074824703,359.81488942293026,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6.0,0.0,0.0,679.0,2.0,85.0,29661.0,0.1,58.756999999999984,0.0,0.0,5031.217021942139,,,,,,,,,,,,,,,,,,,,,24.68786666076068,18.34710867675347,56.772018599014785,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.0,0.0,0.0,1482.0,3.0,803.0,30464.0,0.1,649.0129999999997,0.0,0.0,5100.134670972824,,,,,,,,,,,,,,,,,,,,,241.2207680098242,127.87119792197839,456.22471649638703,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.0,0.0,0.0,1957.0,4.0,475.0,30939.0,0.1,360.875,0.0,0.0,5140.7727925777435,,,,,,,,,,,,,,,,,,,,,147.24765952291506,86.55921302555346,291.51510041233996,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6.0,0.0,0.0,2394.0,5.0,437.0,31376.0,0.1,342.7579999999998,0.0,0.0,5178.1926300525665,,,,,,,,,,,,,,,,,,,,,139.14053600882946,81.12165219323616,282.51833992565304,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
