Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2981.0,18.0,448.0,2981.0,0.1,356.77099999999984,0.0,0.0,234.66444396972656,,,,,,,,,,,,,,,,,,,,,150.91698318732165,87.6243697321301,289.73938055380694,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3495.0,19.0,514.0,3495.0,0.1,413.88499999999976,0.0,0.0,279.262815952301,,,,,,,,,,,,,,,,,,,,,171.31014209721886,101.82745549538627,326.4842289356717,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,3626.0,20.0,131.0,3626.0,0.1,90.51900000000009,0.0,0.0,290.9289131164551,,,,,,,,,,,,,,,,,,,,,34.4444109620225,27.882522516094987,86.17905409310718,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,355.0,1.0,355.0,3981.0,0.1,310.8799999999999,0.0,0.0,634.5400912761688,,,,,,,,,,,,,,,,,,,,,132.7776922579492,77.79410794611236,264.2721993749786,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,682.0,2.0,327.0,4308.0,0.1,267.88099999999986,0.0,0.0,663.1807565689087,,,,,,,,,,,,,,,,,,,,,114.45754837404188,68.41978177792859,230.9149807281639,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1065.0,3.0,383.0,4691.0,0.1,295.38099999999986,0.0,0.0,696.6294932365417,,,,,,,,,,,,,,,,,,,,,129.6615861747214,72.30614718852621,246.21279186602192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1413.0,4.0,348.0,5039.0,0.1,284.6459999999995,0.0,0.0,727.2377700805664,,,,,,,,,,,,,,,,,,,,,120.47402747892899,76.77583851375672,243.20720964942203,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1770.0,5.0,357.0,5396.0,0.1,288.63099999999986,0.0,0.0,758.4267404079437,,,,,,,,,,,,,,,,,,,,,121.82772166323561,73.66960268608968,245.62951677024893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,2095.0,6.0,325.0,5721.0,0.1,260.1299999999999,0.0,0.0,786.8178277015686,,,,,,,,,,,,,,,,,,,,,106.4895676268112,66.68343028943833,225.97260976821298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,2200.0,7.0,105.0,5826.0,0.1,88.00500000000002,0.0,0.0,796.2516529560089,,,,,,,,,,,,,,,,,,,,,38.51918268154632,26.313489523945126,84.12865900779421,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
